"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
4,053152745E2;3,562500000E0;-3,537500000E1;-3,643750000E1
4,063152745E2;1,312500000E0;-3,575000000E1;-3,387500000E1
4,073152745E2;6,000000000E0;-4,137500000E1;-2,625000000E1
4,083152745E2;6,312500000E0;-3,975000000E1;-3,106250000E1
4,093152745E2;7,250000000E0;-3,968750000E1;-3,262500000E1
4,103152745E2;6,062500000E0;-3,700000000E1;-3,406250000E1
4,113152745E2;4,500000000E0;-3,681250000E1;-3,487500000E1
4,123152745E2;-1,250000000E0;-3,281250000E1;-3,606250000E1
4,133152745E2;6,937500000E0;-4,031250000E1;-2,918750000E1
4,143152745E2;1,062500000E1;-4,168750000E1;-2,350000000E1
4,153152745E2;9,812500000E0;-3,462500000E1;-3,300000000E1
4,163152745E2;8,875000000E0;-3,687500000E1;-3,437500000E1
4,173152745E2;9,500000000E0;-4,043750000E1;-3,018750000E1
4,183152745E2;1,156250000E1;-4,000000000E1;-2,825000000E1
4,193152745E2;9,062500000E0;-3,812500000E1;-3,331250000E1
4,203152745E2;8,187500000E0;-3,412500000E1;-3,693750000E1
4,213152745E2;5,437500000E0;-3,275000000E1;-3,731250000E1
4,223152745E2;4,125000000E0;-3,512500000E1;-3,787500000E1
4,233152745E2;6,750000000E0;-3,118750000E1;-4,031250000E1
4,243152745E2;1,062500000E1;-2,843750000E1;-4,225000000E1
4,253152745E2;9,875000000E0;-2,600000000E1;-4,387500000E1
4,263152745E2;7,312500000E0;-2,868750000E1;-4,043750000E1
4,273152745E2;9,125000000E0;-2,912500000E1;-4,200000000E1
4,283152745E2;8,000000000E0;-2,818750000E1;-4,250000000E1
4,293152745E2;8,250000000E0;-2,762500000E1;-4,187500000E1
4,303152745E2;9,437500000E0;-2,918750000E1;-4,112500000E1
4,313152745E2;7,875000000E0;-2,750000000E1;-4,287500000E1
4,323152745E2;7,312500000E0;-2,912500000E1;-4,200000000E1
4,333152745E2;8,812500000E0;-2,900000000E1;-4,231250000E1
4,343152745E2;8,750000000E0;-2,975000000E1;-4,112500000E1
4,353152745E2;1,062500000E1;-3,087500000E1;-4,031250000E1
4,363152745E2;1,293750000E1;-2,906250000E1;-4,062500000E1
4,373152745E2;9,750000000E0;-3,656250000E1;-3,500000000E1
4,383152745E2;8,187500000E0;-3,481250000E1;-3,643750000E1
4,393152745E2;1,137500000E1;-3,306250000E1;-3,793750000E1
4,403152745E2;1,450000000E1;-2,975000000E1;-3,975000000E1
4,413152745E2;1,450000000E1;-2,900000000E1;-3,887500000E1
4,423152745E2;1,393750000E1;-2,850000000E1;-3,937500000E1
4,433152745E2;1,093750000E1;-2,975000000E1;-4,068750000E1
4,443152745E2;7,625000000E0;-3,343750000E1;-4,075000000E1
4,453152745E2;1,062500000E1;-3,350000000E1;-3,825000000E1
4,463152745E2;9,687500000E0;-3,312500000E1;-3,768750000E1
4,473152745E2;6,375000000E0;-3,431250000E1;-3,787500000E1
4,483152745E2;7,687500000E0;-3,312500000E1;-3,812500000E1
4,493152745E2;8,562500000E0;-3,181250000E1;-3,706250000E1
4,503152745E2;1,387500000E1;-2,750000000E1;-2,518750000E1
4,513152745E2;9,375000000E0;-2,781250000E1;-3,600000000E1
4,523152745E2;1,125000000E1;-3,368750000E1;-3,512500000E1
4,533152745E2;8,625000000E0;-3,837500000E1;-3,318750000E1
4,543152745E2;1,062500000E1;-3,900000000E1;-3,050000000E1
4,553152745E2;1,381250000E1;-3,381250000E1;-3,581250000E1
4,563152745E2;1,487500000E1;-3,231250000E1;-3,593750000E1
4,573152745E2;1,693750000E1;-3,093750000E1;-3,762500000E1
4,583152745E2;1,893750000E1;-3,337500000E1;-3,112500000E1
4,593152745E2;1,387500000E1;-3,043750000E1;-3,818750000E1
4,603152745E2;1,531250000E1;-2,762500000E1;-3,637500000E1
4,613152745E2;1,093750000E1;-2,750000000E1;-4,043750000E1
4,623152745E2;1,300000000E1;-3,087500000E1;-3,793750000E1
4,633152745E2;1,281250000E1;-3,075000000E1;-3,918750000E1
4,643152745E2;9,250000000E0;-2,818750000E1;-4,037500000E1
4,653152745E2;1,031250000E1;-2,875000000E1;-4,231250000E1
4,663152745E2;8,437500000E0;-2,825000000E1;-4,356250000E1
4,673152745E2;1,075000000E1;-2,781250000E1;-4,237500000E1
4,683152745E2;1,250000000E1;-2,500000000E1;-4,475000000E1
4,693152745E2;9,750000000E0;-2,512500000E1;-4,443750000E1
4,703152745E2;7,375000000E0;-2,400000000E1;-4,412500000E1
4,713152745E2;1,225000000E1;-3,493750000E1;-3,362500000E1
4,723152745E2;1,500000000E1;-3,218750000E1;-3,412500000E1
4,733152745E2;1,568750000E1;-3,193750000E1;-3,543750000E1
4,743152745E2;1,700000000E1;-3,275000000E1;-3,287500000E1
4,753152745E2;1,925000000E1;-3,225000000E1;-3,300000000E1
4,763152745E2;1,862500000E1;-3,218750000E1;-3,287500000E1
4,773152745E2;2,050000000E1;-3,025000000E1;-3,406250000E1
4,783152745E2;2,100000000E1;-3,056250000E1;-3,406250000E1
4,793152745E2;1,956250000E1;-2,993750000E1;-3,481250000E1
4,803152745E2;1,987500000E1;-3,068750000E1;-3,456250000E1
4,813152745E2;1,881250000E1;-2,950000000E1;-3,537500000E1
4,823152745E2;2,043750000E1;-3,006250000E1;-3,443750000E1
4,833152745E2;2,006250000E1;-2,918750000E1;-3,518750000E1
4,843152745E2;2,037500000E1;-2,900000000E1;-3,487500000E1
4,853152745E2;2,006250000E1;-2,856250000E1;-3,550000000E1
4,863152745E2;2,050000000E1;-2,718750000E1;-3,656250000E1
4,873152745E2;2,006250000E1;-2,843750000E1;-3,575000000E1
4,883152745E2;2,068750000E1;-2,931250000E1;-3,512500000E1
4,893152745E2;2,050000000E1;-3,000000000E1;-3,450000000E1
4,903152745E2;1,981250000E1;-3,006250000E1;-3,418750000E1
4,913152745E2;1,937500000E1;-2,943750000E1;-3,487500000E1
4,923152745E2;1,987500000E1;-3,012500000E1;-3,362500000E1
4,933152745E2;2,675000000E1;-2,118750000E1;-3,956250000E1
4,943152745E2;2,718750000E1;-1,781250000E1;-3,968750000E1
4,953152745E2;2,050000000E1;-1,512500000E1;-4,418750000E1
4,963152745E2;1,687500000E1;-2,025000000E1;-4,468750000E1
4,973152745E2;1,781250000E1;-2,593750000E1;-4,300000000E1
4,983152745E2;1,281250000E1;-2,900000000E1;-4,343750000E1
4,993152745E2;1,737500000E1;-2,568750000E1;-4,100000000E1
5,003152745E2;1,443750000E1;-3,006250000E1;-4,018750000E1
5,013152745E2;1,406250000E1;-3,106250000E1;-3,950000000E1
5,023152745E2;1,287500000E1;-3,468750000E1;-3,575000000E1
5,033152745E2;2,050000000E1;-2,418750000E1;-4,175000000E1
5,043152745E2;1,887500000E1;-2,531250000E1;-4,218750000E1
5,053152745E2;1,956250000E1;-2,525000000E1;-4,000000000E1
5,063152745E2;1,825000000E1;-2,587500000E1;-4,206250000E1
5,073152745E2;1,843750000E1;-2,437500000E1;-4,112500000E1
5,083152745E2;1,787500000E1;-2,837500000E1;-3,793750000E1
5,093152745E2;1,231250000E1;-3,062500000E1;-3,850000000E1
5,103152745E2;1,875000000E-1;-4,106250000E1;-2,906250000E1
5,113152745E2;-1,375000000E0;-3,725000000E1;-3,443750000E1
5,123152745E2;-4,187500000E0;-3,943750000E1;-3,250000000E1
5,133152745E2;-3,562500000E0;-4,337500000E1;-2,793750000E1
5,143152745E2;2,187500000E0;-4,093750000E1;-3,031250000E1
5,153152745E2;1,937500000E0;-3,881250000E1;-3,318750000E1
5,163152745E2;1,875000000E0;-3,918750000E1;-3,187500000E1
5,173152745E2;1,937500000E0;-3,887500000E1;-3,231250000E1
5,183152745E2;7,500000000E-1;-3,850000000E1;-3,100000000E1
5,193152745E2;0,000000000E0;-3,481250000E1;-3,018750000E1
5,203152745E2;1,250000000E-1;-3,868750000E1;-3,156250000E1
5,213152745E2;-3,250000000E0;-3,781250000E1;-3,218750000E1
5,223152745E2;-3,937500000E0;-4,000000000E1;-2,856250000E1
5,233152745E2;-6,875000000E0;-3,637500000E1;-2,625000000E1
5,243152745E2;-3,437500000E0;-3,950000000E1;-2,981250000E1
5,253152745E2;-3,875000000E0;-3,687500000E1;-3,162500000E1
5,263152745E2;-3,062500000E0;-3,681250000E1;-3,037500000E1
5,273152745E2;-5,125000000E0;-3,356250000E1;-3,006250000E1
5,283152745E2;-3,250000000E0;-3,900000000E1;-2,656250000E1
5,293152745E2;1,062500000E0;-3,681250000E1;-3,012500000E1
5,303152745E2;3,437500000E0;-3,650000000E1;-3,081250000E1
5,313152745E2;3,812500000E0;-3,687500000E1;-3,050000000E1
5,323152745E2;6,875000000E0;-4,087500000E1;-2,968750000E1
5,333152745E2;9,375000000E0;-4,156250000E1;-3,387500000E1
5,343152745E2;1,350000000E1;-4,125000000E1;-3,450000000E1
5,353152745E2;1,850000000E1;-3,818750000E1;-3,543750000E1
5,363152745E2;1,487500000E1;-4,412500000E1;-4,512500000E1
5,373152745E2;1,012500000E1;-3,312500000E1;-4,168750000E1
5,383152745E2;1,375000000E1;-2,843750000E1;-5,331250000E1
5,393152745E2;1,593750000E1;-2,368750000E1;-5,800000000E1
5,403152745E2;1,818750000E1;-2,431250000E1;-5,850000000E1
5,413152745E2;2,287500000E1;-3,525000000E1;-5,887500000E1
5,423152745E2;2,287500000E1;-3,887500000E1;-4,043750000E1
5,433152745E2;2,631250000E1;-2,775000000E1;-3,375000000E1
5,443152745E2;3,125000000E-1;-3,325000000E1;-7,093750000E1
5,453152745E2;6,250000000E0;-4,575000000E1;-4,206250000E1
5,463152745E2;1,281250000E1;-3,506250000E1;-3,675000000E1
5,473152745E2;1,643750000E1;-3,368750000E1;-3,237500000E1
5,483152745E2;1,750000000E1;-3,125000000E1;-3,162500000E1
5,493152745E2;1,631250000E1;-2,868750000E1;-3,887500000E1
5,503152745E2;1,862500000E1;-2,637500000E1;-3,843750000E1
5,513152745E2;1,606250000E1;-2,668750000E1;-3,700000000E1
5,523152745E2;1,687500000E1;-2,450000000E1;-4,006250000E1
5,533152745E2;1,193750000E1;-2,443750000E1;-4,343750000E1
5,543152745E2;1,468750000E1;-2,793750000E1;-3,687500000E1
5,553152745E2;1,825000000E1;-2,718750000E1;-3,362500000E1
5,563152745E2;1,550000000E1;-2,950000000E1;-3,593750000E1
5,573152745E2;1,706250000E1;-2,562500000E1;-3,631250000E1
5,583152745E2;1,906250000E1;-2,412500000E1;-3,718750000E1
5,593152745E2;2,318750000E1;-2,537500000E1;-3,706250000E1
5,603152745E2;2,081250000E1;-2,462500000E1;-3,500000000E1
5,613152745E2;2,031250000E1;-2,618750000E1;-3,825000000E1
5,623152745E2;1,912500000E1;-2,506250000E1;-3,425000000E1
5,633152745E2;2,350000000E1;-2,068750000E1;-3,225000000E1
5,643152745E2;1,756250000E1;-2,743750000E1;-3,800000000E1
5,653152745E2;1,612500000E1;-3,137500000E1;-3,468750000E1
5,663152745E2;1,875000000E1;-2,562500000E1;-3,787500000E1
5,673152745E2;1,793750000E1;-1,631250000E1;-4,356250000E1
5,683152745E2;1,750000000E1;-2,043750000E1;-4,925000000E1
5,693152745E2;2,387500000E1;-2,200000000E1;-4,256250000E1
5,703152745E2;1,193750000E1;-3,356250000E1;-3,875000000E1
5,713152745E2;1,100000000E1;-2,718750000E1;-3,281250000E1
5,723152745E2;1,562500000E1;-2,375000000E1;-4,450000000E1
5,733152745E2;1,381250000E1;-2,812500000E1;-3,437500000E1
5,743152745E2;1,925000000E1;-2,618750000E1;-3,987500000E1
5,753152745E2;1,793750000E1;-2,856250000E1;-4,281250000E1
5,763152745E2;2,106250000E1;-2,650000000E1;-4,568750000E1
5,773152745E2;2,468750000E1;-2,806250000E1;-3,468750000E1
5,783152745E2;1,000000000E1;-2,037500000E1;-3,325000000E1
5,793152745E2;1,412500000E1;-1,743750000E1;-3,100000000E1
5,803152745E2;1,231250000E1;-2,137500000E1;-3,912500000E1
5,813152745E2;2,393750000E1;-2,950000000E1;-3,725000000E1
5,823152745E2;2,412500000E1;-1,337500000E1;-4,012500000E1
5,833152745E2;2,012500000E1;-2,681250000E1;-4,131250000E1
5,843152745E2;1,818750000E1;-2,200000000E1;-3,443750000E1
5,853152745E2;1,600000000E1;-2,368750000E1;-3,631250000E1
5,863152745E2;1,550000000E1;-1,493750000E1;-3,162500000E1
5,873152745E2;2,725000000E1;-1,043750000E1;-3,381250000E1
5,883152745E2;2,068750000E1;-2,225000000E1;-5,981250000E1
5,893152745E2;1,418750000E1;-2,218750000E1;-5,206250000E1
5,903152745E2;1,293750000E1;-1,793750000E1;-5,043750000E1
5,913152745E2;7,375000000E0;-5,537500000E1;-6,362500000E1
5,923152745E2;1,075000000E1;-3,943750000E1;-3,693750000E1
5,933152745E2;8,125000000E0;-3,443750000E1;-3,131250000E1
5,943152745E2;7,625000000E0;-3,750000000E1;-3,112500000E1
5,953152745E2;2,125000000E1;-2,718750000E1;-3,437500000E1
5,963152745E2;1,856250000E1;-2,681250000E1;-3,081250000E1
5,973152745E2;1,631250000E1;-2,506250000E1;-3,637500000E1
5,983152745E2;2,237500000E1;-2,600000000E1;-3,737500000E1
5,993152745E2;2,137500000E1;-2,575000000E1;-3,875000000E1
6,003152745E2;2,362500000E1;-2,731250000E1;-3,718750000E1
6,013152745E2;2,156250000E1;-2,681250000E1;-3,843750000E1
6,023152745E2;2,350000000E1;-2,637500000E1;-3,725000000E1
6,033152745E2;2,250000000E1;-2,568750000E1;-3,718750000E1
6,043152745E2;2,456250000E1;-2,656250000E1;-3,787500000E1
6,053152745E2;2,562500000E1;-2,531250000E1;-3,637500000E1
6,063152745E2;2,668750000E1;-2,556250000E1;-3,756250000E1
6,073152745E2;2,237500000E1;-3,356250000E1;-3,325000000E1
6,083152745E2;1,543750000E1;-3,250000000E1;-3,700000000E1
6,093152745E2;2,293750000E1;-2,793750000E1;-3,887500000E1
6,103152745E2;2,393750000E1;-2,731250000E1;-3,943750000E1
6,113152745E2;2,218750000E1;-2,750000000E1;-3,937500000E1
6,123152745E2;2,231250000E1;-3,000000000E1;-3,687500000E1
6,133152745E2;2,443750000E1;-2,806250000E1;-3,581250000E1
6,143152745E2;2,225000000E1;-2,600000000E1;-3,518750000E1
6,153152745E2;1,818750000E1;-2,412500000E1;-4,287500000E1
6,163152745E2;2,093750000E1;-2,200000000E1;-4,475000000E1
6,173152745E2;1,750000000E1;-2,056250000E1;-4,737500000E1
6,183152745E2;1,506250000E1;-2,625000000E1;-4,312500000E1
6,193152745E2;1,281250000E1;-3,168750000E1;-3,987500000E1
6,203152745E2;1,943750000E1;-3,256250000E1;-4,081250000E1
6,213152745E2;2,206250000E1;-3,256250000E1;-3,781250000E1
6,223152745E2;2,018750000E1;-2,937500000E1;-4,037500000E1
6,233152745E2;2,143750000E1;-3,406250000E1;-3,875000000E1
6,243152745E2;2,575000000E1;-2,587500000E1;-4,237500000E1
6,253152745E2;2,281250000E1;-2,343750000E1;-4,418750000E1
6,263152745E2;2,062500000E1;-2,375000000E1;-4,425000000E1
6,273152745E2;1,750000000E1;-3,000000000E1;-4,031250000E1
6,283152745E2;1,912500000E1;-2,162500000E1;-4,518750000E1
6,293152745E2;2,581250000E1;-1,137500000E1;-4,756250000E1
6,303152745E2;1,975000000E1;-1,968750000E1;-4,512500000E1
6,313152745E2;2,225000000E1;-1,818750000E1;-4,537500000E1
6,323152745E2;2,418750000E1;-1,825000000E1;-4,387500000E1
6,333152745E2;2,387500000E1;-1,943750000E1;-4,450000000E1
6,343152745E2;2,068750000E1;-2,812500000E1;-4,318750000E1
6,353152745E2;2,156250000E1;-1,943750000E1;-4,531250000E1
6,363152745E2;2,131250000E1;-2,125000000E1;-4,281250000E1
6,373152745E2;1,968750000E1;-1,968750000E1;-4,575000000E1
6,383152745E2;1,925000000E1;-2,162500000E1;-4,543750000E1
6,393152745E2;1,906250000E1;-2,168750000E1;-4,456250000E1
6,403152745E2;1,800000000E1;-2,231250000E1;-4,475000000E1
6,413152745E2;1,987500000E1;-1,975000000E1;-4,625000000E1
6,423152745E2;2,268750000E1;-1,368750000E1;-4,787500000E1
6,433152745E2;2,531250000E1;-1,293750000E1;-4,787500000E1
6,443152745E2;2,381250000E1;-1,568750000E1;-4,625000000E1
6,453152745E2;2,393750000E1;-2,375000000E1;-4,187500000E1
6,463152745E2;2,000000000E1;-2,181250000E1;-4,512500000E1
6,473152745E2;1,537500000E1;-1,937500000E1;-4,800000000E1
6,483152745E2;2,200000000E1;-6,187500000E0;-4,918750000E1
6,493152745E2;2,500000000E1;-6,187500000E0;-4,768750000E1
6,503152745E2;2,287500000E1;-9,062500000E0;-4,862500000E1
6,513152745E2;2,237500000E1;-8,375000000E0;-4,625000000E1
6,523152745E2;2,206250000E1;-1,212500000E1;-4,756250000E1
6,533152745E2;2,162500000E1;-1,275000000E1;-4,831250000E1
6,543152745E2;2,175000000E1;-1,656250000E1;-4,675000000E1
6,553152745E2;2,262500000E1;-1,506250000E1;-4,675000000E1
6,563152745E2;1,925000000E1;-1,775000000E1;-4,762500000E1
6,573152745E2;2,125000000E1;-1,587500000E1;-4,662500000E1
6,583152745E2;2,481250000E1;-1,506250000E1;-4,600000000E1
6,593152745E2;2,656250000E1;-1,281250000E1;-4,593750000E1
6,603152745E2;2,287500000E1;-2,118750000E1;-4,412500000E1
6,613152745E2;1,912500000E1;-2,062500000E1;-4,625000000E1
6,623152745E2;1,687500000E1;-1,943750000E1;-4,737500000E1
6,633152745E2;1,875000000E1;-1,937500000E1;-4,718750000E1
6,643152745E2;1,800000000E1;-1,537500000E1;-4,862500000E1
6,653152745E2;1,968750000E1;-1,593750000E1;-4,787500000E1
6,663152745E2;1,843750000E1;-1,575000000E1;-4,856250000E1
6,673152745E2;1,487500000E1;-1,481250000E1;-5,018750000E1
6,683152745E2;1,687500000E1;-1,681250000E1;-4,843750000E1
6,693152745E2;1,787500000E1;-1,381250000E1;-4,881250000E1
6,703152745E2;1,843750000E1;-1,368750000E1;-4,937500000E1
6,713152745E2;1,975000000E1;-1,606250000E1;-4,800000000E1
6,723152745E2;2,037500000E1;-1,500000000E1;-4,912500000E1
6,733152745E2;1,862500000E1;-1,568750000E1;-4,850000000E1
6,743152745E2;1,831250000E1;-1,400000000E1;-4,943750000E1
6,753152745E2;1,500000000E1;-2,575000000E1;-4,425000000E1
6,763152745E2;1,831250000E1;-2,462500000E1;-4,381250000E1
6,773152745E2;2,262500000E1;-2,168750000E1;-4,381250000E1
6,783152745E2;2,375000000E1;-2,125000000E1;-4,362500000E1
6,793152745E2;2,162500000E1;-2,306250000E1;-4,456250000E1
6,803152745E2;2,037500000E1;-2,468750000E1;-4,281250000E1
6,813152745E2;2,050000000E1;-2,218750000E1;-4,468750000E1
6,823152745E2;1,600000000E1;-2,731250000E1;-4,412500000E1
6,833152745E2;1,762500000E1;-2,787500000E1;-4,162500000E1
6,843152745E2;2,218750000E1;-2,168750000E1;-4,518750000E1
6,853152745E2;2,187500000E1;-2,337500000E1;-4,356250000E1
6,863152745E2;1,925000000E1;-2,562500000E1;-4,318750000E1
6,873152745E2;1,968750000E1;-2,531250000E1;-4,312500000E1
6,883152745E2;2,512500000E1;-2,193750000E1;-4,143750000E1
6,893152745E2;3,006250000E1;-1,850000000E1;-4,062500000E1
6,903152745E2;2,725000000E1;-1,168750000E1;-4,518750000E1
6,913152745E2;2,237500000E1;-1,756250000E1;-4,543750000E1
6,923152745E2;2,237500000E1;-1,875000000E1;-4,362500000E1
6,933152745E2;2,387500000E1;-1,637500000E1;-4,581250000E1
6,943152745E2;2,412500000E1;-1,593750000E1;-4,600000000E1
6,953152745E2;2,031250000E1;-1,637500000E1;-4,756250000E1
6,963152745E2;2,037500000E1;-2,137500000E1;-4,600000000E1
6,973152745E2;2,293750000E1;-2,312500000E1;-4,356250000E1
6,983152745E2;2,225000000E1;-2,400000000E1;-4,250000000E1
6,993152745E2;2,262500000E1;-2,181250000E1;-4,193750000E1
7,003152745E2;2,137500000E1;-2,318750000E1;-4,218750000E1
7,013152745E2;2,175000000E1;-2,225000000E1;-4,300000000E1
7,023152745E2;1,893750000E1;-2,212500000E1;-4,387500000E1
7,033152745E2;1,737500000E1;-2,843750000E1;-4,000000000E1
7,043152745E2;1,918750000E1;-3,043750000E1;-3,725000000E1
7,053152745E2;2,356250000E1;-2,525000000E1;-4,006250000E1
7,063152745E2;2,193750000E1;-2,231250000E1;-4,356250000E1
7,073152745E2;2,068750000E1;-2,312500000E1;-4,312500000E1
7,083152745E2;2,168750000E1;-2,500000000E1;-4,156250000E1
7,093152745E2;2,125000000E1;-2,537500000E1;-4,081250000E1
7,103152745E2;1,975000000E1;-2,756250000E1;-4,068750000E1
7,113152745E2;1,981250000E1;-3,043750000E1;-3,750000000E1
7,123152745E2;1,643750000E1;-2,787500000E1;-4,156250000E1
7,133152745E2;2,300000000E1;-2,262500000E1;-4,156250000E1
7,143152745E2;2,262500000E1;-2,181250000E1;-4,193750000E1
7,153152745E2;2,250000000E1;-1,850000000E1;-4,406250000E1
7,163152745E2;2,131250000E1;-1,775000000E1;-4,843750000E1
7,173152745E2;1,706250000E1;-1,981250000E1;-5,406250000E1
7,183152745E2;6,562500000E0;-2,631250000E1;-4,731250000E1
7,193152745E2;1,293750000E1;-1,843750000E1;-1,543750000E1
7,203152745E2;2,725000000E1;-1,618750000E1;-5,300000000E1
7,213152745E2;2,687500000E1;-3,250000000E1;-5,137500000E1
7,223152745E2;-1,875000000E0;-3,418750000E1;-3,418750000E1
7,233152745E2;1,143750000E1;-1,281250000E1;-1,037500000E1
7,243152745E2;1,581250000E1;-3,187500000E0;-4,631250000E1
7,253152745E2;1,568750000E1;-2,325000000E1;-5,193750000E1
7,263152745E2;1,500000000E1;-2,631250000E1;-4,375000000E1
7,273152745E2;1,737500000E1;-2,775000000E1;-4,543750000E1
7,283152745E2;1,356250000E1;-2,462500000E1;-4,562500000E1
7,293152745E2;1,168750000E1;-2,606250000E1;-4,393750000E1
7,303152745E2;1,312500000E1;-3,193750000E1;-3,843750000E1
7,313152745E2;1,550000000E1;-3,162500000E1;-3,731250000E1
7,323152745E2;1,818750000E1;-2,750000000E1;-4,068750000E1
7,333152745E2;1,687500000E1;-2,712500000E1;-4,187500000E1
7,343152745E2;1,825000000E1;-2,787500000E1;-4,018750000E1
7,353152745E2;1,937500000E1;-2,837500000E1;-3,987500000E1
7,363152745E2;1,887500000E1;-2,918750000E1;-3,950000000E1
7,373152745E2;1,812500000E1;-3,250000000E1;-3,593750000E1
7,383152745E2;2,043750000E1;-2,931250000E1;-3,881250000E1
7,393152745E2;1,812500000E1;-2,843750000E1;-4,331250000E1
7,403152745E2;1,787500000E1;-2,700000000E1;-3,987500000E1
7,413152745E2;1,818750000E1;-3,031250000E1;-3,831250000E1
7,423152745E2;1,600000000E1;-2,906250000E1;-3,787500000E1
7,433152745E2;1,675000000E1;-2,843750000E1;-3,893750000E1
7,443152745E2;1,800000000E1;-2,837500000E1;-3,850000000E1
7,453152745E2;1,593750000E1;-3,031250000E1;-3,706250000E1
7,463152745E2;1,231250000E1;-3,700000000E1;-3,037500000E1
7,473152745E2;9,500000000E0;-3,443750000E1;-3,456250000E1
7,483152745E2;1,262500000E1;-3,493750000E1;-3,343750000E1
7,493152745E2;1,406250000E1;-3,256250000E1;-3,581250000E1
7,503152745E2;1,325000000E1;-3,150000000E1;-3,737500000E1
7,513152745E2;1,187500000E1;-3,356250000E1;-3,468750000E1
7,523152745E2;1,331250000E1;-3,287500000E1;-3,468750000E1
7,533152745E2;1,231250000E1;-3,381250000E1;-3,350000000E1
7,543152745E2;1,700000000E1;-3,062500000E1;-3,350000000E1
7,553152745E2;1,725000000E1;-3,262500000E1;-3,418750000E1
7,563152745E2;1,581250000E1;-3,762500000E1;-3,356250000E1
7,573152745E2;1,550000000E1;-3,787500000E1;-3,625000000E1
7,583152745E2;1,668750000E1;-3,012500000E1;-3,812500000E1
7,593152745E2;1,312500000E1;-2,993750000E1;-3,912500000E1
7,603152745E2;1,675000000E1;-3,193750000E1;-3,600000000E1
7,613152745E2;2,256250000E1;-2,850000000E1;-3,768750000E1
7,623152745E2;1,606250000E1;-3,312500000E1;-4,231250000E1
7,633152745E2;1,731250000E1;-3,368750000E1;-4,050000000E1
7,643152745E2;1,768750000E1;-2,825000000E1;-4,200000000E1
7,653152745E2;1,406250000E1;-2,750000000E1;-4,512500000E1
7,663152745E2;1,531250000E1;-3,031250000E1;-4,450000000E1
7,673152745E2;1,300000000E1;-2,856250000E1;-4,162500000E1
7,683152745E2;2,343750000E1;-3,281250000E1;-3,131250000E1
7,693152745E2;3,356250000E1;-2,287500000E1;-2,393750000E1
7,703152745E2;3,487500000E1;-1,475000000E1;-3,193750000E1
7,713152745E2;2,031250000E1;-2,250000000E1;-3,918750000E1
7,723152745E2;3,500000000E0;-4,443750000E1;-2,281250000E1
